Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
B1,26/07/2019,19:30,Genk,Kortrijk,2,1,1,0.0,1.0,A,10.0,8.0,2.0,4.0,7.0,22.0,6.0,2.0,0.0,1.0,0.0,0.0,1.36,4.75,8.5
B1,27/07/2019,17:00,Cercle Brugge,Standard,0,2,0,0.0,0.0,D,13.0,14.0,5.0,9.0,16.0,15.0,3.0,7.0,2.0,2.0,1.0,0.0,3.75,3.75,1.85
B1,27/07/2019,19:00,St Truiden,Mouscron,0,1,0,0.0,1.0,A,10.0,10.0,4.0,6.0,10.0,21.0,5.0,5.0,2.0,4.0,0.0,0.0,1.9,3.75,3.75
B1,27/07/2019,19:00,Waregem,Mechelen,0,2,0,0.0,1.0,A,7.0,10.0,2.0,5.0,14.0,21.0,4.0,2.0,3.0,1.0,0.0,0.0,2.15,3.6,3.1
B1,27/07/2019,19:30,Waasland-Beveren,Club Brugge,1,3,0,1.0,1.0,D,7.0,25.0,2.0,22.0,18.0,12.0,1.0,14.0,3.0,1.0,0.0,0.0,6.5,4.0,1.5
B1,28/07/2019,13:30,Anderlecht,Oostende,1,2,0,1.0,1.0,D,15.0,8.0,6.0,6.0,12.0,17.0,5.0,2.0,1.0,3.0,0.0,0.0,1.36,4.5,9.0
B1,28/07/2019,17:00,Charleroi,Gent,1,1,2,0.0,0.0,D,7.0,5.0,4.0,4.0,20.0,21.0,5.0,6.0,0.0,2.0,0.0,0.0,3.1,3.25,2.3
B1,28/07/2019,19:00,Eupen,Antwerp,1,4,0,1.0,1.0,D,12.0,14.0,3.0,8.0,18.0,10.0,3.0,10.0,1.0,2.0,0.0,0.0,3.8,3.3,1.95
B1,02/08/2019,19:30,Club Brugge,St Truiden,6,0,1,4.0,0.0,H,16.0,4.0,10.0,2.0,19.0,12.0,6.0,2.0,1.0,3.0,1.0,0.0,1.25,5.5,12.0
B1,03/08/2019,17:00,Standard,Waregem,4,0,1,2.0,0.0,H,16.0,3.0,7.0,1.0,19.0,18.0,4.0,2.0,0.0,2.0,0.0,1.0,1.53,4.33,5.5
B1,03/08/2019,19:00,Kortrijk,Charleroi,1,1,2,0.0,1.0,A,7.0,11.0,4.0,6.0,21.0,18.0,10.0,3.0,1.0,2.0,0.0,0.0,2.3,3.4,3.0
B1,03/08/2019,19:00,Oostende,Cercle Brugge,3,1,1,2.0,1.0,H,11.0,9.0,7.0,4.0,9.0,18.0,3.0,2.0,0.0,2.0,0.0,1.0,2.15,3.5,3.2
B1,03/08/2019,19:30,Mechelen,Genk,3,1,1,1.0,1.0,D,11.0,9.0,5.0,5.0,14.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,4.33,3.4,1.85
