Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,matchday,Home_pre_po,Away_pre_po,home_Public_per,draw_public_per,away_public_per,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
B1,26/07/2019,19:30,Genk,Kortrijk,2,1,1,7,11,95.5,4.5,0,H,0,1,A,10,8,2,4,7,22,6,2,0,1,0,0,1.36,4.75,8.5,1.4,5,8,1.37,4.8,6.9,1.4,5.22,7.44,1.36,4.8,8,1.36,5,8,1.41,5.25,8.5,1.38,4.94,7.42
B1,27/07/2019,17:00,Cercle Brugge,Standard,0,2,1,14,5,4.5,13.6,81.8,A,0,0,D,13,14,5,9,16,15,3,7,2,2,1,0,3.75,3.75,1.85,3.8,3.75,1.95,3.7,3.6,1.87,3.91,3.63,1.99,3.7,3.6,1.91,3.75,3.7,1.93,4.1,3.8,1.99,3.72,3.59,1.93
B1,27/07/2019,19:00,St Truiden,Mouscron,0,1,1,12,10,77.3,18.2,4.5,A,0,1,A,10,10,4,6,10,21,5,5,2,4,0,0,1.9,3.75,3.75,1.95,3.5,4.1,1.93,3.45,3.65,1.99,3.52,4.04,1.91,3.6,3.75,1.93,3.6,3.8,2.01,3.75,4.1,1.95,3.49,3.77
B1,27/07/2019,19:00,Waregem,Mechelen,0,2,1,9,6,68.2,22.7,9.1,A,0,1,A,7,10,2,5,14,21,4,2,3,1,0,0,2.15,3.6,3.1,2.2,3.75,3.1,2.15,3.5,3,2.23,3.76,3.12,2.2,3.5,3,2.2,3.6,3.1,2.37,3.76,3.15,2.2,3.58,3.03
B1,27/07/2019,19:30,Waasland-Beveren,Club Brugge,1,3,1,16,1,4.5,0,95.5,A,1,1,D,7,25,2,22,18,12,1,14,3,1,0,0,6.5,4,1.5,6,4.5,1.53,5.3,4.3,1.5,5.52,4.59,1.56,5.5,4.33,1.52,5.75,4.5,1.5,6.5,4.6,1.59,5.53,4.36,1.53
B1,28/07/2019,13:30,Anderlecht,Oostende,1,2,1,8,15,100,0,0,A,1,1,D,15,8,6,6,12,17,5,2,1,3,0,0,1.36,4.5,9,1.36,5,9.25,1.37,4.75,7.2,1.36,5.09,8.96,1.35,4.75,8.5,1.36,5,8,1.4,5.1,9.25,1.36,4.82,8.02
B1,28/07/2019,17:00,Charleroi,Gent,1,1,1,3,2,4.5,18.2,77.3,D,0,0,D,7,5,4,4,20,21,5,6,0,2,0,0,3.1,3.25,2.3,3,3.5,2.35,2.95,3.35,2.25,3.03,3.55,2.36,2.9,3.4,2.3,2.9,3.5,2.3,3.1,3.55,2.4,2.94,3.38,2.31
B1,28/07/2019,19:00,Eupen,Antwerp,1,4,1,13,4,22.7,22.7,54.5,A,1,1,D,12,14,3,8,18,10,3,10,1,2,0,0,3.8,3.3,1.95,3.8,3.6,2,3.5,3.45,1.97,3.74,3.69,2.02,3.5,3.5,2,3.6,3.6,2,3.8,3.69,2.13,3.55,3.51,2.01
B1,02/08/2019,19:30,Club Brugge,St Truiden,6,0,2,2,12,95.5,0,4.5,H,4,0,H,16,4,10,2,19,12,6,2,1,3,1,0,1.25,5.5,12,1.26,6.25,11,1.25,5.6,9.9,1.25,6.39,11.45,1.22,5.8,12,1.22,6,12,1.26,6.5,12,1.24,6.04,10.99
B1,03/08/2019,17:00,Standard,Waregem,4,0,2,3,14,100,0,0,H,2,0,H,16,3,7,1,19,18,4,2,0,2,0,1,1.53,4.33,5.5,1.5,4.6,6.25,1.47,4.45,5.6,1.49,4.89,6.07,1.47,4.6,5.8,1.45,4.6,6.25,1.54,4.89,6.25,1.49,4.53,5.8
B1,03/08/2019,19:00,Kortrijk,Charleroi,1,1,2,11,9,40.9,31.8,27.3,D,0,1,A,7,11,4,6,21,18,10,3,1,2,0,0,2.3,3.4,3,2.4,3.5,2.95,2.3,3.35,2.9,2.33,3.61,3.04,2.25,3.5,3,2.3,3.4,3,2.44,3.61,3.05,2.3,3.43,2.95
B1,03/08/2019,19:00,Oostende,Cercle Brugge,3,1,2,6,15,81.8,9.1,9.1,H,2,1,H,11,9,7,4,9,18,3,2,0,2,0,1,2.15,3.5,3.2,2.2,3.6,3.2,2.2,3.5,2.95,2.3,3.75,3,2.2,3.5,3,2.2,3.6,3.1,2.3,3.75,3.27,2.21,3.56,3.01
B1,03/08/2019,19:30,Mechelen,Genk,3,1,2,4,5,13.6,27.3,59.1,H,1,1,D,11,9,5,5,14,13,5,4,1,0,0,0,4.33,3.4,1.85,4.33,3.8,1.83,4.05,3.65,1.8,4.25,3.82,1.86,4,3.7,1.8,4.1,3.75,1.83,4.33,3.85,1.88,4.06,3.68,1.83
B1,04/08/2019,13:30,Gent,Eupen,6,1,2,8,16,100,0,0,H,4,0,H,18,8,11,5,13,13,6,2,0,2,0,0,1.4,4.75,7,1.45,4.6,7.25,1.37,4.8,7,1.39,5.2,7.84,1.36,5,7.5,1.36,5,8,1.46,5.2,8,1.38,4.84,7.32
B1,04/08/2019,17:00,Mouscron,Anderlecht,0,0,2,7,10,9.1,4.5,86.4,D,0,0,D,7,9,2,3,15,18,4,4,2,4,0,0,3.4,3.5,2.05,3.6,3.5,2.1,3.3,3.45,2.05,3.53,3.44,2.17,3.4,3.5,2.05,3.4,3.5,2.1,3.7,3.64,2.18,3.35,3.44,2.1
B1,04/08/2019,19:00,Antwerp,Waasland-Beveren,4,1,2,1,13,100,0,0,H,2,1,H,15,10,11,6,20,11,6,4,0,2,0,0,1.33,5,9,1.4,5,8.25,1.33,4.9,8,1.35,5.5,8.35,1.32,5.25,8.5,1.33,5,9,1.4,5.5,9,1.34,5.02,8.17
B1,09/08/2019,19:30,Anderlecht,Mechelen,0,0,3,11,4,57.1,28.6,14.3,D,0,0,D,12,1,4,0,12,11,8,1,0,2,0,1,1.75,4.2,4,1.83,3.75,3.9,1.77,3.8,3.95,1.82,3.88,4.36,1.75,3.8,4.2,1.75,4,4.2,1.86,4.2,4.36,1.79,3.81,4.07
B1,10/08/2019,17:00,Oostende,Club Brugge,0,2,3,5,1,4.8,9.5,85.7,A,0,0,D,8,10,4,8,11,17,3,6,0,0,0,0,7,4.2,1.45,6,4.6,1.45,5.9,4.6,1.45,6.47,5.01,1.46,6,4.75,1.44,6.25,4.75,1.45,7,5.01,1.51,6.11,4.65,1.45
B1,10/08/2019,19:00,Cercle Brugge,Kortrijk,1,3,3,16,13,42.9,19,38.1,A,1,0,H,13,11,6,9,17,18,2,3,1,1,0,0,2.5,3.5,2.62,2.5,3.5,2.6,2.45,3.5,2.55,2.59,3.74,2.62,2.5,3.6,2.55,2.55,3.6,2.55,2.63,3.74,2.7,2.52,3.52,2.59
B1,10/08/2019,19:00,Eupen,Waasland-Beveren,1,1,3,12,19,57.1,23.8,19,D,0,1,A,4,7,1,4,17,20,4,7,2,1,0,0,1.83,3.6,4.2,1.8,3.8,4,1.85,3.7,3.7,1.9,3.77,4.11,1.85,3.6,3.9,1.9,3.8,3.75,1.92,3.86,4.2,1.87,3.69,3.85
B1,10/08/2019,19:30,Genk,Waregem,0,2,3,8,14,95.2,4.8,0,A,0,1,A,10,8,3,7,16,20,3,2,1,2,0,0,1.22,6,13,1.22,6.25,11.5,1.23,6.1,9.8,1.25,6.69,11.03,1.24,6,11,1.22,6.25,12,1.26,7,13,1.23,6.29,10.57
B1,11/08/2019,13:30,St Truiden,Standard,2,1,3,15,3,9.5,4.8,85.7,H,2,0,H,6,25,5,9,16,16,0,5,4,4,0,1,4.33,3.8,1.72,4.33,3.9,1.72,4.15,3.85,1.73,4.41,4.12,1.76,4.33,3.9,1.73,4.5,3.9,1.73,4.5,4.12,1.78,4.25,3.88,1.74
B1,11/08/2019,17:00,Charleroi,Antwerp,2,1,3,9,2,19,9.5,71.4,H,0,0,D,10,6,4,2,8,20,5,4,0,1,0,0,2.55,3.4,2.62,2.5,3.3,2.7,2.55,3.25,2.65,2.64,3.42,2.75,2.55,3.3,2.7,2.55,3.4,2.7,2.65,3.42,2.75,2.56,3.3,2.66
B1,11/08/2019,19:00,Mouscron,Gent,2,1,3,7,6,9.5,14.3,76.2,H,2,1,H,6,11,2,4,15,15,2,7,0,1,0,0,3.5,3.75,2,3.4,3.75,1.95,3.4,3.6,1.97,3.58,3.71,2.06,3.4,3.6,2,3.5,3.7,2,3.6,3.8,2.06,3.41,3.62,2
B1,16/08/2019,19:30,Club Brugge,Eupen,0,0,4,1,15,100,0,0,D,0,0,D,11,7,1,3,12,19,7,3,3,4,0,0,1.14,8,11,1.2,7.5,13.5,1.21,6.5,10.5,1.19,7.73,13.81,1.18,7,12,1.18,7.5,12,1.23,8,14,1.19,7.14,12.24
B1,17/08/2019,17:00,Kortrijk,Anderlecht,4,2,4,9,13,8,20,72,H,0,1,A,8,9,5,5,15,21,1,3,1,1,0,0,3,3.5,2.1,3,3.7,2.3,2.8,3.45,2.3,2.89,3.74,2.37,2.8,3.5,2.35,2.8,3.5,2.4,3,3.74,2.42,2.87,3.51,2.32
B1,17/08/2019,19:00,Mechelen,Cercle Brugge,3,1,4,2,16,100,0,0,H,0,1,A,7,3,4,2,8,22,5,3,0,4,0,0,1.4,4.33,9,1.42,5,7.25,1.41,4.5,6.7,1.41,4.94,7.58,1.4,4.6,7.5,1.4,4.6,8,1.45,5,9,1.41,4.65,7.08
B1,17/08/2019,19:30,Waasland-Beveren,Genk,0,4,4,14,10,4,12,84,A,0,1,A,7,16,2,5,14,4,3,3,2,0,0,0,6.5,4.75,1.36,6.5,5.25,1.44,6.3,4.8,1.4,6.26,5.33,1.44,6.5,5,1.4,7,5,1.4,7.5,5.33,1.44,6.55,4.95,1.4
B1,18/08/2019,13:30,Standard,Mouscron,4,1,4,5,3,76.9,11.5,11.5,H,2,0,H,10,2,6,0,8,16,3,4,0,1,0,0,1.45,4.5,5.25,1.53,4.33,6.25,1.5,4.25,5.6,1.52,4.45,6.46,1.5,4.2,6,1.5,4.4,6,1.58,4.75,6.46,1.51,4.33,5.83
B1,18/08/2019,17:00,Antwerp,St Truiden,2,0,4,4,12,88.5,7.7,3.8,H,1,0,H,15,6,4,3,14,13,5,4,0,4,0,1,1.45,4.33,5.5,1.55,4.33,6,1.5,4.15,5.6,1.54,4.24,6.43,1.5,4.2,6,1.5,4.3,6.25,1.58,4.47,6.43,1.52,4.18,5.84
B1,18/08/2019,19:00,Gent,Oostende,2,0,4,8,6,81.5,7.4,11.1,H,0,0,D,11,5,4,2,6,15,5,4,0,1,0,0,1.33,5.5,7.5,1.4,5.25,7.5,1.35,4.95,7.3,1.36,5.33,8.56,1.35,5,8,1.36,5,8,1.4,5.5,8.56,1.36,5.1,7.54
B1,19/08/2019,19:30,Waregem,Charleroi,3,1,4,11,7,35.7,50,14.3,H,1,0,H,5,4,3,2,13,15,3,5,2,1,0,0,2.8,3.3,2.3,2.9,3.7,2.35,2.75,3.5,2.3,2.88,3.88,2.32,2.8,3.5,2.35,2.8,3.5,2.38,2.9,3.88,2.5,2.79,3.56,2.34
B1,23/08/2019,19:30,Genk,Anderlecht,1,0,5,8,13,74.1,14.8,11.1,H,0,0,D,6,8,4,2,8,16,5,10,0,1,0,0,1.72,3.8,4.5,1.78,3.75,4.2,1.75,3.8,4.1,1.78,4.09,4.32,1.75,3.9,4.2,1.75,3.9,4.3,1.82,4.1,4.5,1.77,3.84,4.16
B1,24/08/2019,19:00,Cercle Brugge,Waasland-Beveren,1,0,5,16,15,66.7,22.2,11.1,H,0,0,D,7,10,2,2,13,8,3,7,2,1,0,0,2,3.6,3.5,2,3.8,3.3,1.97,3.75,3.25,2,3.91,3.58,1.95,3.75,3.4,2,3.8,3.4,2.03,3.92,3.58,1.99,3.73,3.38
B1,24/08/2019,19:00,St Truiden,Waregem,0,0,5,12,10,33.3,33.3,33.3,D,0,0,D,13,8,2,2,15,15,5,4,2,1,0,0,2.25,3.5,3,2.2,3.5,3,2.25,3.65,2.8,2.31,3.8,2.95,2.2,3.75,2.88,2.3,3.7,2.88,2.33,3.92,3,2.26,3.64,2.86
B1,24/08/2019,19:30,Oostende,Mechelen,2,1,5,9,2,22.2,14.8,63,H,0,0,D,13,11,8,6,18,12,6,9,2,3,0,0,3.1,3.5,2.2,2.9,3.6,2.25,3,3.5,2.15,3.11,3.71,2.25,3,3.5,2.25,3.1,3.6,2.2,3.11,3.75,2.3,3.01,3.54,2.21
B1,25/08/2019,17:00,Standard,Kortrijk,2,1,5,3,6,96.3,0,3.7,H,0,1,A,8,6,5,2,9,18,7,3,2,3,1,0,1.5,4.5,5.75,1.55,4.25,5.25,1.5,4.25,5.5,1.51,4.58,6.34,1.5,4.33,6,1.5,4.4,6,1.55,4.58,6.34,1.51,4.35,5.74
B1,25/08/2019,19:00,Mouscron,Eupen,2,0,5,7,14,81.5,14.8,3.7,H,1,0,H,5,6,4,2,17,11,6,6,3,3,0,0,1.72,3.75,4.5,1.75,3.7,4.4,1.7,3.75,4.4,1.72,3.96,4.88,1.7,3.75,4.6,1.7,3.8,4.8,1.8,3.96,4.88,1.72,3.77,4.52
B1,30/08/2019,19:30,Mechelen,Mouscron,2,2,6,4,5,79.2,16.7,4.2,D,2,1,H,8,10,4,5,13,16,5,7,1,1,0,0,1.95,3.75,3.5,2,3.6,3.8,1.95,3.45,3.6,2.05,3.5,3.83,1.78,3.7,4.2,2,3.5,3.6,2.06,3.75,4.03,2,3.47,3.68
B1,31/08/2019,17:00,Eupen,St Truiden,0,2,6,15,12,29.2,33.3,37.5,A,0,1,A,16,10,6,3,14,7,7,1,2,1,0,0,2.3,3.6,2.8,2.3,3.7,2.9,2.25,3.55,2.85,2.26,3.82,3.02,2.25,3.6,2.88,2.25,3.7,2.9,2.32,3.82,3.02,2.25,3.62,2.91
B1,31/08/2019,19:00,Kortrijk,Oostende,2,2,6,9,7,57.7,19.2,23.1,D,0,1,A,6,12,3,3,16,15,7,1,1,1,0,0,2.05,3.6,3.4,2,3.8,3.5,1.97,3.65,3.35,2.02,3.98,3.47,2,3.75,3.3,2,3.75,3.5,2.13,3.98,3.5,1.99,3.71,3.39
B1,31/08/2019,19:30,Waasland-Beveren,Charleroi,0,4,6,16,11,12,8,80,A,0,1,A,5,7,1,6,18,11,7,4,1,0,0,0,4,3.75,1.83,4,3.9,1.85,3.8,3.7,1.83,3.91,4.18,1.85,3.7,3.9,1.83,3.9,3.8,1.85,4.01,4.18,1.9,3.85,3.84,1.84
B1,01/09/2019,13:30,Club Brugge,Genk,1,1,6,3,6,74.1,22.2,3.7,D,1,0,H,10,13,5,3,16,13,6,5,2,4,0,0,1.75,3.75,4.33,1.8,4,4.1,1.75,3.8,4.1,1.79,4.08,4.26,1.75,3.8,4.2,1.75,3.9,4.2,1.83,4.08,4.35,1.77,3.86,4.15
B1,01/09/2019,17:00,Anderlecht,Standard,1,0,6,14,1,35.7,14.3,50,H,1,0,H,10,11,4,5,15,12,1,3,2,2,0,0,2.05,3.6,3.4,2.15,3.5,3.3,2.1,3.55,3.15,2.2,3.6,3.31,2.1,3.5,3.2,2.15,3.6,3.2,2.25,3.72,3.4,2.15,3.52,3.18
B1,01/09/2019,19:00,Gent,Cercle Brugge,3,2,6,8,13,96.4,3.6,0,H,3,1,H,17,7,8,3,12,16,4,2,1,4,0,0,1.28,6,8.5,1.3,6,8.5,1.28,5.6,8.2,1.31,5.8,9.44,1.27,5.5,9.5,1.29,6,9.5,1.32,6,9.5,1.29,5.75,8.77
B1,01/09/2019,19:00,Waregem,Antwerp,2,0,6,10,2,35.7,17.9,46.4,H,2,0,H,10,3,4,2,7,16,5,6,0,2,0,0,2.7,3.8,2.3,2.75,3.75,2.4,2.65,3.55,2.4,2.75,3.82,2.44,2.7,3.6,2.35,2.7,3.7,2.4,2.85,3.82,2.51,2.68,3.61,2.41
