Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,matchday,Home_pre_po,Away_pre_po,home_Public_per,draw_public_per,away_public_per,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Goals,Result,Season,Team_Home,Overall Rating_Home,Attack_Home,Midfield_Home,Defence_Home,Num of Players_Home,Build-up Style_Home,Team_Away,Overall Rating_Away,Attack_Away,Midfield_Away,Defence_Away,Num of Players_Away,Build-up Style_Away,HomeTeam_Advantage,HomeTeam_Form,AwayTeam_Form,MatchID,HomeTeam_GoalsFor_roll3,HomeTeam_GoalsAgainst_roll3,HomeTeam_ShotsFor_roll3,HomeTeam_ShotsOnTargetFor_roll3,HomeTeam_FoulsFor_roll3,HomeTeam_CornersFor_roll3,HomeTeam_YellowCardsFor_roll3,HomeTeam_RedCardsFor_roll3,HomeTeam_ShotsAgainst_roll3,HomeTeam_ShotsOnTargetAgainst_roll3,HomeTeam_FoulsAgainst_roll3,HomeTeam_CornersAgainst_roll3,HomeTeam_YellowCardsAgainst_roll3,HomeTeam_RedCardsAgainst_roll3,AwayTeam_GoalsFor_roll3,AwayTeam_GoalsAgainst_roll3,AwayTeam_ShotsFor_roll3,AwayTeam_ShotsOnTargetFor_roll3,AwayTeam_FoulsFor_roll3,AwayTeam_CornersFor_roll3,AwayTeam_YellowCardsFor_roll3,AwayTeam_RedCardsFor_roll3,AwayTeam_ShotsAgainst_roll3,AwayTeam_ShotsOnTargetAgainst_roll3,AwayTeam_FoulsAgainst_roll3,AwayTeam_CornersAgainst_roll3,AwayTeam_YellowCardsAgainst_roll3,AwayTeam_RedCardsAgainst_roll3,Cluster
B1,2019-08-09,Anderlecht,Mechelen,0,0,D,12.0,1.0,4.0,0.0,12.0,11.0,8.0,1.0,0.0,2.0,0.0,1.0,1.75,4.2,4.0,1.83,3.75,3.9,1.77,3.8,3.95,1.82,3.88,4.36,1.75,3.8,4.2,1.75,4.0,4.2,1.86,4.2,4.36,1.79,3.81,4.07,1.6,2.3,1.58,2.43,1.62,2.43,1.58,2.31,3,11,4,57.1,28.6,14.3,19,0,2019,8,9,0,10,6,Under,Draw,2019-2020,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,0.0,0.16666666666666666,1.0,16,0.5,1.0,12.0,4.5,15.0,4.5,2.5,0.0,7.5,4.0,16.0,3.0,2.5,0.0,2.5,0.5,10.5,5.0,17.5,3.5,1.0,0.0,8.0,3.5,13.5,4.0,1.5,0.0,Cluster 1
B1,2019-08-10,Oostende,Club Brugge,0,2,A,8.0,10.0,4.0,8.0,11.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,4.2,1.45,6.0,4.6,1.45,5.9,4.6,1.45,6.47,5.01,1.46,6.0,4.75,1.44,6.25,4.75,1.45,7.0,5.01,1.51,6.11,4.65,1.45,1.5,2.5,1.51,2.62,1.52,2.63,1.49,2.54,3,5,1,4.8,9.5,85.7,17,2,2019,8,10,12,5,7,Under,Away Win,2019-2020,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,1.0,1.0,1.0,17,2.5,1.0,9.5,6.5,13.0,2.5,1.5,0.0,12.0,5.0,15.0,3.5,1.5,0.5,4.5,0.5,20.5,16.0,15.5,10.0,1.0,0.5,5.5,2.0,15.0,1.5,3.0,0.0,Cluster 1
B1,2019-08-10,Cercle Brugge,Kortrijk,1,3,A,13.0,11.0,6.0,9.0,17.0,18.0,2.0,3.0,1.0,1.0,0.0,0.0,2.5,3.5,2.62,2.5,3.5,2.6,2.45,3.5,2.55,2.59,3.74,2.62,2.5,3.6,2.55,2.55,3.6,2.55,2.63,3.74,2.7,2.52,3.52,2.59,1.61,2.25,1.65,2.29,1.67,2.34,1.61,2.27,3,16,13,42.9,19.0,38.1,19,2,2019,8,10,3,9,7,Over,Away Win,2019-2020,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,,69.60747663551402,70.30820770519263,69.80988274706867,68.38860971524288,26.911222780569513,Balanced,0.0,0.0,0.16666666666666666,18,0.5,2.5,11.0,4.5,17.0,2.5,2.0,1.0,12.5,8.0,12.0,5.0,1.0,0.0,1.0,1.5,7.5,4.0,21.5,6.0,1.0,0.0,10.5,4.0,12.5,4.5,1.0,0.0,Cluster 3
B1,2019-08-10,Eupen,Waasland-Beveren,1,1,D,4.0,7.0,1.0,4.0,17.0,20.0,4.0,7.0,2.0,1.0,0.0,0.0,1.83,3.6,4.2,1.8,3.8,4.0,1.85,3.7,3.7,1.9,3.77,4.11,1.85,3.6,3.9,1.9,3.8,3.75,1.92,3.86,4.2,1.87,3.69,3.85,1.6,2.3,1.62,2.36,1.62,2.38,1.58,2.31,3,12,19,57.1,23.8,19.0,19,0,2019,8,10,6,19,7,Under,Draw,2019-2020,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,0.0,0.0,0.0,19,1.0,5.0,10.0,4.0,15.5,2.5,1.5,0.0,16.0,9.5,11.5,8.0,1.0,0.0,1.0,3.5,8.5,4.0,14.5,2.5,2.5,0.0,20.0,16.5,16.0,10.0,0.5,0.0,Cluster 3
B1,2019-08-10,Genk,Waregem,0,2,A,10.0,8.0,3.0,7.0,16.0,20.0,3.0,2.0,1.0,2.0,0.0,0.0,1.22,6.0,13.0,1.22,6.25,11.5,1.23,6.1,9.8,1.25,6.69,11.03,1.24,6.0,11.0,1.22,6.25,12.0,1.26,7.0,13.0,1.23,6.29,10.57,1.36,3.1,1.33,3.39,1.38,3.39,1.34,3.12,3,8,14,95.2,4.8,0.0,19,2,2019,8,10,7,20,7,Under,Away Win,2019-2020,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,1.0,0.5,0.0,20,1.5,2.0,9.5,3.5,10.0,5.0,0.0,0.0,9.5,4.5,18.0,3.5,1.0,0.0,0.0,3.0,5.0,1.5,16.0,3.0,2.5,0.5,13.0,6.0,20.0,3.0,0.5,0.0,Cluster 2
B1,2019-08-11,St Truiden,Standard,2,1,H,6.0,25.0,5.0,9.0,16.0,16.0,0.0,5.0,4.0,4.0,0.0,1.0,4.33,3.8,1.72,4.33,3.9,1.72,4.15,3.85,1.73,4.41,4.12,1.76,4.33,3.9,1.73,4.5,3.9,1.73,4.5,4.12,1.78,4.25,3.88,1.74,1.65,2.2,1.65,2.29,1.68,2.31,1.63,2.23,3,15,3,9.5,4.8,85.7,13,1,2019,8,11,16,18,1,Over,Home Win,2019-2020,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,,69.60747663551402,70.30820770519263,69.80988274706867,68.38860971524288,26.911222780569513,Balanced,0.0,0.0,1.0,21,0.0,3.5,7.0,3.0,11.0,3.5,2.5,0.0,13.0,8.0,20.0,5.5,2.5,0.5,3.0,0.0,15.0,8.0,17.0,5.5,1.0,0.0,8.0,3.0,17.0,2.5,2.0,1.0,Cluster 3
B1,2019-08-11,Charleroi,Antwerp,2,1,H,10.0,6.0,4.0,2.0,8.0,20.0,5.0,4.0,0.0,1.0,0.0,0.0,2.55,3.4,2.62,2.5,3.3,2.7,2.55,3.25,2.65,2.64,3.42,2.75,2.55,3.3,2.7,2.55,3.4,2.7,2.65,3.42,2.75,2.56,3.3,2.66,1.95,1.85,2.0,1.87,2.01,1.93,1.94,1.85,3,9,2,19.0,9.5,71.4,17,1,2019,8,11,4,1,1,Over,Home Win,2019-2020,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,0.3333333333333333,0.3333333333333333,1.0,22,1.0,1.0,9.0,5.0,19.0,4.0,1.0,0.0,6.0,4.0,21.0,8.0,1.5,0.0,4.0,1.0,14.5,9.5,15.0,8.0,1.0,0.0,11.0,4.5,14.5,3.5,1.5,0.0,Cluster 1
B1,2019-08-11,Mouscron,Gent,2,1,H,6.0,11.0,2.0,4.0,15.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,3.5,3.75,2.0,3.4,3.75,1.95,3.4,3.6,1.97,3.58,3.71,2.06,3.4,3.6,2.0,3.5,3.7,2.0,3.6,3.8,2.06,3.41,3.62,2.0,1.65,2.2,1.66,2.28,1.68,2.31,1.63,2.22,3,7,6,9.5,14.3,76.2,19,1,2019,8,11,11,8,1,Over,Home Win,2019-2020,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,0.3333333333333333,0.6666666666666666,0.6666666666666666,23,0.5,0.0,8.5,4.0,18.0,4.5,3.0,0.0,9.5,3.5,14.0,4.5,3.0,0.0,3.5,1.0,11.5,7.5,17.0,6.0,1.0,0.0,7.5,4.5,16.5,3.5,1.0,0.0,Cluster 1
B1,2019-08-16,Club Brugge,Eupen,0,0,D,11.0,7.0,1.0,3.0,12.0,19.0,7.0,3.0,3.0,4.0,0.0,0.0,1.14,8.0,11.0,1.2,7.5,13.5,1.21,6.5,10.5,1.19,7.73,13.81,1.18,7.0,12.0,1.18,7.5,12.0,1.23,8.0,14.0,1.19,7.14,12.24,1.3,3.5,1.34,3.37,1.34,3.6,1.3,3.37,4,1,15,100.0,0.0,0.0,19,0,2019,8,16,5,6,6,Under,Draw,2019-2020,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,1.0,1.0,0.1111111111111111,24,3.6666666666666665,0.3333333333333333,17.0,13.333333333333334,16.0,8.666666666666666,0.6666666666666666,0.3333333333333333,6.333333333333333,2.6666666666666665,13.666666666666666,2.0,2.0,0.0,1.0,3.6666666666666665,8.0,3.0,16.0,3.0,1.6666666666666667,0.0,13.0,7.666666666666667,14.333333333333334,7.666666666666667,1.0,0.0,Cluster 2
B1,2019-08-17,Kortrijk,Anderlecht,4,2,H,8.0,9.0,5.0,5.0,15.0,21.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.5,2.1,3.0,3.7,2.3,2.8,3.45,2.3,2.89,3.74,2.37,2.8,3.5,2.35,2.8,3.5,2.4,3.0,3.74,2.42,2.87,3.51,2.32,1.7,2.1,1.72,2.16,1.75,2.2,1.69,2.13,4,9,13,8.0,20.0,72.0,17,1,2019,8,17,9,0,7,Over,Home Win,2019-2020,,69.62127659574467,70.32130872483222,69.8246644295302,68.3993288590604,26.91694630872483,Balanced,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,0.3333333333333333,0.4444444444444444,0.2222222222222222,25,1.6666666666666667,1.3333333333333333,8.666666666666666,5.666666666666667,20.333333333333332,5.0,1.0,0.0,11.333333333333334,4.666666666666667,14.0,3.6666666666666665,1.0,0.0,0.3333333333333333,0.6666666666666666,12.0,4.333333333333333,14.0,5.666666666666667,1.6666666666666667,0.0,5.333333333333333,2.6666666666666665,14.333333333333334,2.3333333333333335,2.3333333333333335,0.3333333333333333,Cluster 1
