Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2019-07-26,Genk,Kortrijk,2,1,H,10.0,8.0,2.0,4.0,7.0,22.0,6.0,2.0,0.0,1.0,0.0,0.0,1.36,4.75,8.5,1.4,5.0,8.0,1.37,4.8,6.9,1.4,5.22,7.44,1.36,4.8,8.0,1.36,5.0,8.0,1.41,5.25,8.5,1.38,4.94,7.42,19,1,2019,7,26,7,9,6,Home Win,2019-2020
B1,2019-07-27,Cercle Brugge,Standard,0,2,A,13.0,14.0,5.0,9.0,16.0,15.0,3.0,7.0,2.0,2.0,1.0,0.0,3.75,3.75,1.85,3.8,3.75,1.95,3.7,3.6,1.87,3.91,3.63,1.99,3.7,3.6,1.91,3.75,3.7,1.93,4.1,3.8,1.99,3.72,3.59,1.93,17,2,2019,7,27,3,18,7,Away Win,2019-2020
B1,2019-07-27,St Truiden,Mouscron,0,1,A,10.0,10.0,4.0,6.0,10.0,21.0,5.0,5.0,2.0,4.0,0.0,0.0,1.9,3.75,3.75,1.95,3.5,4.1,1.93,3.45,3.65,1.99,3.52,4.04,1.91,3.6,3.75,1.93,3.6,3.8,2.01,3.75,4.1,1.95,3.49,3.77,19,2,2019,7,27,16,11,7,Away Win,2019-2020
B1,2019-07-27,Waregem,Mechelen,0,2,A,7.0,10.0,2.0,5.0,14.0,21.0,4.0,2.0,3.0,1.0,0.0,0.0,2.15,3.6,3.1,2.2,3.75,3.1,2.15,3.5,3.0,2.23,3.76,3.12,2.2,3.5,3.0,2.2,3.6,3.1,2.37,3.76,3.15,2.2,3.58,3.03,19,2,2019,7,27,20,10,7,Away Win,2019-2020
B1,2019-07-27,Waasland-Beveren,Club Brugge,1,3,A,7.0,25.0,2.0,22.0,18.0,12.0,1.0,14.0,3.0,1.0,0.0,0.0,6.5,4.0,1.5,6.0,4.5,1.53,5.3,4.3,1.5,5.52,4.59,1.56,5.5,4.33,1.52,5.75,4.5,1.5,6.5,4.6,1.59,5.53,4.36,1.53,19,2,2019,7,27,19,5,7,Away Win,2019-2020
B1,2019-07-28,Anderlecht,Oostende,1,2,A,15.0,8.0,6.0,6.0,12.0,17.0,5.0,2.0,1.0,3.0,0.0,0.0,1.36,4.5,9.0,1.36,5.0,9.25,1.37,4.75,7.2,1.36,5.09,8.96,1.35,4.75,8.5,1.36,5.0,8.0,1.4,5.1,9.25,1.36,4.82,8.02,13,2,2019,7,28,0,12,1,Away Win,2019-2020
B1,2019-07-28,Charleroi,Gent,1,1,D,7.0,5.0,4.0,4.0,20.0,21.0,5.0,6.0,0.0,2.0,0.0,0.0,3.1,3.25,2.3,3.0,3.5,2.35,2.95,3.35,2.25,3.03,3.55,2.36,2.9,3.4,2.3,2.9,3.5,2.3,3.1,3.55,2.4,2.94,3.38,2.31,17,0,2019,7,28,4,8,1,Draw,2019-2020
B1,2019-07-28,Eupen,Antwerp,1,4,A,12.0,14.0,3.0,8.0,18.0,10.0,3.0,10.0,1.0,2.0,0.0,0.0,3.8,3.3,1.95,3.8,3.6,2.0,3.5,3.45,1.97,3.74,3.69,2.02,3.5,3.5,2.0,3.6,3.6,2.0,3.8,3.69,2.13,3.55,3.51,2.01,19,2,2019,7,28,6,1,1,Away Win,2019-2020
B1,2019-08-02,Club Brugge,St Truiden,6,0,H,16.0,4.0,10.0,2.0,19.0,12.0,6.0,2.0,1.0,3.0,1.0,0.0,1.25,5.5,12.0,1.26,6.25,11.0,1.25,5.6,9.9,1.25,6.39,11.45,1.22,5.8,12.0,1.22,6.0,12.0,1.26,6.5,12.0,1.24,6.04,10.99,19,1,2019,8,2,5,16,6,Home Win,2019-2020
B1,2019-08-03,Standard,Waregem,4,0,H,16.0,3.0,7.0,1.0,19.0,18.0,4.0,2.0,0.0,2.0,0.0,1.0,1.53,4.33,5.5,1.5,4.6,6.25,1.47,4.45,5.6,1.49,4.89,6.07,1.47,4.6,5.8,1.45,4.6,6.25,1.54,4.89,6.25,1.49,4.53,5.8,17,1,2019,8,3,18,20,7,Home Win,2019-2020
