Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Overall Rating_home,Attack_home,Midfield_home,Defence_home,Num of Players_home,Build-up Style_home,Overall Rating_away,Attack_away,Midfield_away,Defence_away,Num of Players_away,Build-up Style_away
B1,2019-07-26,19:30,Genk,Kortrijk,2,1,H,0.0,1.0,A,10.0,8.0,2.0,4.0,7.0,22.0,6.0,2.0,0.0,1.0,0.0,0.0,1.36,4.75,8.5,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,,,,,,
B1,2019-07-27,17:00,Cercle Brugge,Standard,0,2,A,0.0,0.0,D,13.0,14.0,5.0,9.0,16.0,15.0,3.0,7.0,2.0,2.0,1.0,0.0,3.75,3.75,1.85,2019-2020,66.0,67.0,66.0,65.0,25.0,Balanced,,,,,,
B1,2019-07-27,19:00,St Truiden,Mouscron,0,1,A,0.0,1.0,A,10.0,10.0,4.0,6.0,10.0,21.0,5.0,5.0,2.0,4.0,0.0,0.0,1.9,3.75,3.75,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,64.0,65.0,64.0,63.0,25.0,Long Ball
B1,2019-07-27,19:00,Waregem,Mechelen,0,2,A,0.0,1.0,A,7.0,10.0,2.0,5.0,14.0,21.0,4.0,2.0,3.0,1.0,0.0,0.0,2.15,3.6,3.1,2019-2020,68.0,69.0,68.0,67.0,28.0,Balanced,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-07-27,19:30,Waasland-Beveren,Club Brugge,1,3,A,1.0,1.0,D,7.0,25.0,2.0,22.0,18.0,12.0,1.0,14.0,3.0,1.0,0.0,0.0,6.5,4.0,1.5,2019-2020,65.0,66.0,65.0,64.0,24.0,Long Ball,75.0,74.0,76.0,72.0,28.0,Balanced
B1,2019-07-28,13:30,Anderlecht,Oostende,1,2,A,1.0,1.0,D,15.0,8.0,6.0,6.0,12.0,17.0,5.0,2.0,1.0,3.0,0.0,0.0,1.36,4.5,9.0,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,67.0,68.0,67.0,66.0,27.0,Long Ball
B1,2019-07-28,17:00,Charleroi,Gent,1,1,D,0.0,0.0,D,7.0,5.0,4.0,4.0,20.0,21.0,5.0,6.0,0.0,2.0,0.0,0.0,3.1,3.25,2.3,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,74.0,75.0,74.0,71.0,27.0,Balanced
B1,2019-07-28,19:00,Eupen,Antwerp,1,4,A,1.0,1.0,D,12.0,14.0,3.0,8.0,18.0,10.0,3.0,10.0,1.0,2.0,0.0,0.0,3.8,3.3,1.95,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-08-02,19:30,Club Brugge,St Truiden,6,0,H,4.0,0.0,H,16.0,4.0,10.0,2.0,19.0,12.0,6.0,2.0,1.0,3.0,1.0,0.0,1.25,5.5,12.0,2019-2020,75.0,74.0,76.0,72.0,28.0,Balanced,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
B1,2019-08-03,17:00,Standard,Waregem,4,0,H,2.0,0.0,H,16.0,3.0,7.0,1.0,19.0,18.0,4.0,2.0,0.0,2.0,0.0,1.0,1.53,4.33,5.5,2019-2020,,,,,,,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-08-03,19:00,Kortrijk,Charleroi,1,1,D,0.0,1.0,A,7.0,11.0,4.0,6.0,21.0,18.0,10.0,3.0,1.0,2.0,0.0,0.0,2.3,3.4,3.0,2019-2020,,,,,,,70.0,71.0,70.0,69.0,27.0,Fast Build-Up
B1,2019-08-03,19:00,Oostende,Cercle Brugge,3,1,H,2.0,1.0,H,11.0,9.0,7.0,4.0,9.0,18.0,3.0,2.0,0.0,2.0,0.0,1.0,2.15,3.5,3.2,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,66.0,67.0,66.0,65.0,25.0,Balanced
B1,2019-08-03,19:30,Mechelen,Genk,3,1,H,1.0,1.0,D,11.0,9.0,5.0,5.0,14.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,4.33,3.4,1.85,2019-2020,69.0,70.0,69.0,68.0,26.0,Balanced,72.0,72.0,72.0,70.0,25.0,Balanced
B1,2019-08-04,13:30,Gent,Eupen,6,1,H,4.0,0.0,H,18.0,8.0,11.0,5.0,13.0,13.0,6.0,2.0,0.0,2.0,0.0,0.0,1.4,4.75,7.0,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-08-04,17:00,Mouscron,Anderlecht,0,0,D,0.0,0.0,D,7.0,9.0,2.0,3.0,15.0,18.0,4.0,4.0,2.0,4.0,0.0,0.0,3.4,3.5,2.05,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,72.0,72.0,72.0,71.0,29.0,Balanced
B1,2019-08-04,19:00,Antwerp,Waasland-Beveren,4,1,H,2.0,1.0,H,15.0,10.0,11.0,6.0,20.0,11.0,6.0,4.0,0.0,2.0,0.0,0.0,1.33,5.0,9.0,2019-2020,71.0,72.0,71.0,70.0,28.0,Long Ball,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-08-09,19:30,Anderlecht,Mechelen,0,0,D,0.0,0.0,D,12.0,1.0,4.0,0.0,12.0,11.0,8.0,1.0,0.0,2.0,0.0,1.0,1.75,4.2,4.0,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-08-10,17:00,Oostende,Club Brugge,0,2,A,0.0,0.0,D,8.0,10.0,4.0,8.0,11.0,17.0,3.0,6.0,0.0,0.0,0.0,0.0,7.0,4.2,1.45,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,75.0,74.0,76.0,72.0,28.0,Balanced
B1,2019-08-10,19:00,Cercle Brugge,Kortrijk,1,3,A,1.0,0.0,H,13.0,11.0,6.0,9.0,17.0,18.0,2.0,3.0,1.0,1.0,0.0,0.0,2.5,3.5,2.62,2019-2020,66.0,67.0,66.0,65.0,25.0,Balanced,,,,,,
B1,2019-08-10,19:00,Eupen,Waasland-Beveren,1,1,D,0.0,1.0,A,4.0,7.0,1.0,4.0,17.0,20.0,4.0,7.0,2.0,1.0,0.0,0.0,1.83,3.6,4.2,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-08-10,19:30,Genk,Waregem,0,2,A,0.0,1.0,A,10.0,8.0,3.0,7.0,16.0,20.0,3.0,2.0,1.0,2.0,0.0,0.0,1.22,6.0,13.0,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-08-11,13:30,St Truiden,Standard,2,1,H,2.0,0.0,H,6.0,25.0,5.0,9.0,16.0,16.0,0.0,5.0,4.0,4.0,0.0,1.0,4.33,3.8,1.72,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,,,,,,
B1,2019-08-11,17:00,Charleroi,Antwerp,2,1,H,0.0,0.0,D,10.0,6.0,4.0,2.0,8.0,20.0,5.0,4.0,0.0,1.0,0.0,0.0,2.55,3.4,2.62,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-08-11,19:00,Mouscron,Gent,2,1,H,2.0,1.0,H,6.0,11.0,2.0,4.0,15.0,15.0,2.0,7.0,0.0,1.0,0.0,0.0,3.5,3.75,2.0,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,74.0,75.0,74.0,71.0,27.0,Balanced
