Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,FTR_category,Result,Season,Team_Home,Overall Rating_Home,Attack_Home,Midfield_Home,Defence_Home,Num of Players_Home,Build-up Style_Home,Team_Away,Overall Rating_Away,Attack_Away,Midfield_Away,Defence_Away,Num of Players_Away,Build-up Style_Away,HomeTeam_Advantage,HomeTeam_Form,AwayTeam_Form
B1,2019-07-26,Genk,Kortrijk,2,1,H,10.0,8.0,2.0,4.0,7.0,22.0,6.0,2.0,0.0,1.0,0.0,0.0,1.36,4.75,8.5,19,1,2019,7,26,7,9,6,Home Win,Home Win,2019-2020,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,,,
B1,2019-07-27,Cercle Brugge,Standard,0,2,A,13.0,14.0,5.0,9.0,16.0,15.0,3.0,7.0,2.0,2.0,1.0,0.0,3.75,3.75,1.85,17,2,2019,7,27,3,18,7,Away Win,Away Win,2019-2020,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,,,
B1,2019-07-27,St Truiden,Mouscron,0,1,A,10.0,10.0,4.0,6.0,10.0,21.0,5.0,5.0,2.0,4.0,0.0,0.0,1.9,3.75,3.75,19,2,2019,7,27,16,11,7,Away Win,Away Win,2019-2020,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,,,
B1,2019-07-27,Waregem,Mechelen,0,2,A,7.0,10.0,2.0,5.0,14.0,21.0,4.0,2.0,3.0,1.0,0.0,0.0,2.15,3.6,3.1,19,2,2019,7,27,20,10,7,Away Win,Away Win,2019-2020,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,,,
B1,2019-07-27,Waasland-Beveren,Club Brugge,1,3,A,7.0,25.0,2.0,22.0,18.0,12.0,1.0,14.0,3.0,1.0,0.0,0.0,6.5,4.0,1.5,19,2,2019,7,27,19,5,7,Away Win,Away Win,2019-2020,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,,,
B1,2019-07-28,Anderlecht,Oostende,1,2,A,15.0,8.0,6.0,6.0,12.0,17.0,5.0,2.0,1.0,3.0,0.0,0.0,1.36,4.5,9.0,13,2,2019,7,28,0,12,1,Away Win,Away Win,2019-2020,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,,,
B1,2019-07-28,Charleroi,Gent,1,1,D,7.0,5.0,4.0,4.0,20.0,21.0,5.0,6.0,0.0,2.0,0.0,0.0,3.1,3.25,2.3,17,0,2019,7,28,4,8,1,Draw,Draw,2019-2020,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,,,
B1,2019-07-28,Eupen,Antwerp,1,4,A,12.0,14.0,3.0,8.0,18.0,10.0,3.0,10.0,1.0,2.0,0.0,0.0,3.8,3.3,1.95,19,2,2019,7,28,6,1,1,Away Win,Away Win,2019-2020,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,Antwerp,71.0,72.0,71.0,70.0,28.0,Long Ball,,,
B1,2019-08-02,Club Brugge,St Truiden,6,0,H,16.0,4.0,10.0,2.0,19.0,12.0,6.0,2.0,1.0,3.0,1.0,0.0,1.25,5.5,12.0,19,1,2019,8,2,5,16,6,Home Win,Home Win,2019-2020,Club Brugge,75.0,74.0,76.0,72.0,28.0,Balanced,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,,100.0,0.0
B1,2019-08-03,Standard,Waregem,4,0,H,16.0,3.0,7.0,1.0,19.0,18.0,4.0,2.0,0.0,2.0,0.0,1.0,1.53,4.33,5.5,17,1,2019,8,3,18,20,7,Home Win,Home Win,2019-2020,,69.65567176186646,70.34285714285714,69.84285714285714,68.46746031746032,26.95,Balanced,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,,100.0,0.0
